Nested Sampling Global Log-Evidence           :   -0.572877984997274723E+02  +/-    0.243546623705556492E+00
Nested Importance Sampling Global Log-Evidence:   -0.599833852482706646E+02  +/-    0.571921447598437369E-01

Dim No.       Mean        Sigma
   1    0.126058771095893781E+04    0.833107525312420548E-03
   2    0.470526843777826331E+00    0.139640420604596610E+00
   3    0.318637919754041121E+01    0.729697032042113947E-01
   4    0.122300391802232244E+01    0.160467955543933644E+00
   5    0.684204494911849759E+00    0.699831848014560443E-01
   6    0.558739196644122083E+00    0.227970664708147835E+00
   7    0.434477599660703928E+00    0.266851064170710750E+00
   8   -0.262165646402632603E-02    0.806222057113113494E-04
   9    0.286881639218604075E-02    0.163359974998893707E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.126058782989535371E+04
   2    0.569545226496993129E+00
   3    0.314194763209095829E+01
   4    0.133353269862467827E+01
   5    0.675653433356008470E+00
   6    0.431350842730445994E+00
   7    0.811008019335511254E+00
   8   -0.261992870478080717E-02
   9    0.278348143021788993E-02

MAP Parameters
Dim No.        Parameter
   1    0.126058782989535371E+04
   2    0.569545226496993129E+00
   3    0.314194763209095829E+01
   4    0.133353269862467827E+01
   5    0.675653433356008470E+00
   6    0.431350842730445994E+00
   7    0.811008019335511254E+00
   8   -0.261992870478080717E-02
   9    0.278348143021788993E-02
