Nested Sampling Global Log-Evidence           :   -0.162153185089436448E+03  +/-    0.273683998217487678E+00
Nested Importance Sampling Global Log-Evidence:   -0.165558992888938405E+03  +/-    0.743571053373116297E-01

Dim No.       Mean        Sigma
   1    0.101063346849308721E+04    0.369533723093027797E-03
   2    0.451171970020049273E+00    0.140163676398109144E+00
   3    0.346069663108750536E+01    0.969206975529829790E-01
   4    0.124302535054786500E+01    0.155491863078139503E+00
   5    0.848258023195662236E+00    0.893479381996039462E-01
   6    0.867411805848086748E+00    0.876753406254232454E-01
   7    0.724674200599221052E+00    0.163648425467287001E+00
   8    0.682776290152216228E-03    0.189201750985123853E-04
   9   -0.239910671227154667E-02    0.379753198066284735E-04

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.101063349031586904E+04
   2    0.661369864872871305E+00
   3    0.338524129799668616E+01
   4    0.147175708427863272E+01
   5    0.804734958835421565E+00
   6    0.994632875152412943E+00
   7    0.583155710977963038E+00
   8    0.685235365328950435E-03
   9   -0.239892727217583951E-02

MAP Parameters
Dim No.        Parameter
   1    0.101063349031586904E+04
   2    0.661369864872871305E+00
   3    0.338524129799668616E+01
   4    0.147175708427863272E+01
   5    0.804734958835421565E+00
   6    0.994632875152412943E+00
   7    0.583155710977963038E+00
   8    0.685235365328950435E-03
   9   -0.239892727217583951E-02
