Nested Sampling Global Log-Evidence           :   -0.853271356164592817E+03  +/-    0.285399129264950202E+00
Nested Importance Sampling Global Log-Evidence:   -0.858580010880283339E+03  +/-    0.747615615657116345E-01

Dim No.       Mean        Sigma
   1    0.104665220188097964E-01    0.253940286984074615E+00
   2    0.919414365469362171E+00    0.376226269734231192E-01
   3    0.950581302701276172E+03    0.321341547983592041E-03
   4    0.683681430616149166E+00    0.115869170189895121E+00
   5    0.312373915538970293E+01    0.257746259780808618E+00
   6    0.129924558543195312E+01    0.133536317343487893E+00
   7    0.406979635470072043E+00    0.102437504874596297E+00
   8    0.496098970660039801E-01    0.424121432697051604E-01
   9    0.460207242238486136E+00    0.259892113105319400E+00
  10    0.119288969819482931E-01    0.334876075609690232E-04
  11    0.501563282994112875E-02    0.529992660722640937E-04

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.449803415582641364E-01
   2    0.945562891501919078E+00
   3    0.950581252692857561E+03
   4    0.678953734891452054E+00
   5    0.304604946406967514E+01
   6    0.130145095503894259E+01
   7    0.415362561951609588E+00
   8    0.127891981317284492E-01
   9    0.710247324026911042E+00
  10    0.119320183133685663E-01
  11    0.501719444494488215E-02

MAP Parameters
Dim No.        Parameter
   1   -0.449803415582641364E-01
   2    0.945562891501919078E+00
   3    0.950581252692857561E+03
   4    0.678953734891452054E+00
   5    0.304604946406967514E+01
   6    0.130145095503894259E+01
   7    0.415362561951609588E+00
   8    0.127891981317284492E-01
   9    0.710247324026911042E+00
  10    0.119320183133685663E-01
  11    0.501719444494488215E-02
