Nested Sampling Global Log-Evidence           :   -0.179391031559077931E+03  +/-    0.406715330594583702E+00
Nested Importance Sampling Global Log-Evidence:   -0.184933481704853250E+03  +/-    0.702408994456819591E-01

Dim No.       Mean        Sigma
   1    0.905257447739819554E+03    0.467576704286027918E-03
   2    0.201222761050634219E+00    0.216606080347346184E-02
   3    0.316276022943853974E+01    0.149010619002848711E-01
   4    0.752437193936516313E+00    0.655895993239753727E-02
   5    0.374803906839458719E-02    0.768437894983059195E-04
   6    0.203010532112589257E-03    0.196063953151228608E-03
   7    0.137740632226652610E+04    0.438806269670056332E-03
   8    0.365503442365681219E+00    0.592410832043118313E-01
   9    0.310694482507453396E+01    0.107052974801337235E-01
  10    0.100420794573477901E+01    0.782657062873238774E-01
  11    0.152654656364117252E-02    0.880346129018015405E-04
  12    0.237699144921980221E-03    0.230799098591103743E-03
  13    0.597556133501643938E+00    0.170727115872602621E-01
  14    0.651550885699534454E+00    0.181199768058012273E+00
  15    0.258086648249470585E+00    0.215793982121764538E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.905257397106916073E+03
   2    0.200586773485029790E+00
   3    0.315489772011840497E+01
   4    0.749509837050647665E+00
   5    0.369090578444970091E-02
   6    0.155101249525835261E-03
   7    0.137740657295059873E+04
   8    0.376085867758848613E+00
   9    0.310131640566225997E+01
  10    0.101899549664929867E+01
  11    0.149497610811035256E-02
  12    0.367545879367603412E-03
  13    0.587746196428615697E+00
  14    0.720507885261474135E+00
  15    0.214496901727726563E+00

MAP Parameters
Dim No.        Parameter
   1    0.905257397106916073E+03
   2    0.200586773485029790E+00
   3    0.315489772011840497E+01
   4    0.749509837050647665E+00
   5    0.369090578444970091E-02
   6    0.155101249525835261E-03
   7    0.137740657295059873E+04
   8    0.376085867758848613E+00
   9    0.310131640566225997E+01
  10    0.101899549664929867E+01
  11    0.149497610811035256E-02
  12    0.367545879367603412E-03
  13    0.587746196428615697E+00
  14    0.720507885261474135E+00
  15    0.214496901727726563E+00
