Nested Sampling Global Log-Evidence           :   -0.103217469286100453E+03  +/-    0.287401596097945078E+00
Nested Importance Sampling Global Log-Evidence:   -0.103799736390157335E+03  +/-    0.196188508540731908E-01

Dim No.       Mean        Sigma
   1    0.895615034107462634E+03    0.426437430071751646E-02
   2    0.556488166245934432E-01    0.290558822205113643E-01
   3    0.296267573446151111E+01    0.705220041154343696E-01
   4    0.917715889080478520E+00    0.375700615550709424E-01
   5    0.276217018216737165E+00    0.643713106335083440E-01
   6    0.184932969341337489E+00    0.158527934646548130E+00
   7    0.446015229565154103E+00    0.233919317594744103E+00
   8    0.305143073769922532E-03    0.259187473641125707E-04
   9   -0.125043046457676841E-02    0.615878801164475271E-04

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.895616378329672330E+03
   2    0.516688551255718442E-01
   3    0.290182345152987420E+01
   4    0.899455498985724633E+00
   5    0.312083665672481914E+00
   6    0.725564985069242219E-01
   7    0.749516331191993235E+00
   8    0.292350134787313504E-03
   9   -0.123583024058902813E-02

MAP Parameters
Dim No.        Parameter
   1    0.895616378329672330E+03
   2    0.516688551255718442E-01
   3    0.290182345152987420E+01
   4    0.899455498985724633E+00
   5    0.312083665672481914E+00
   6    0.725564985069242219E-01
   7    0.749516331191993235E+00
   8    0.292350134787313504E-03
   9   -0.123583024058902813E-02
